20250301	19:12:23	721aa742-bc6b-4349-90e2-dbde5ff11a40	/new-page.html	GET
20250301	19:12:23	b786858c-4582-4918-84ff-84ab2c333e7c	/css/style.css	GET
20250301	19:12:23	e3eac237-d08d-442a-973f-459a73735d66	/img/img1.jpg	GET
20250301	19:12:23	1d8b03ce-cd4d-4b73-9c03-9acb3cb8e394	/favicon.ico	GET
20250301	19:13:29	ee685368-026e-4d94-a6e1-7761b8e154aa	/new-page.html	GET
20250301	19:15:13	bd788971-aac2-4dc5-ba0b-9e28514973df	/new-page.html	GET
20250301	19:15:13	723b0352-e04b-4d58-a9c8-9f135b7331a1	/css/style.css	GET
20250301	19:15:13	66ca97d7-e80d-4f34-8e16-bf9a5a1ed40c	/img/img1.jpg	GET
20250302	15:23:11	3b91bb09-8cf4-4af7-a856-8995eb89c6a1	GET	undefined	/
20250302	15:23:11	bcdfb93a-12fa-4246-8a99-8df0c24a4391	GET	undefined	/css/style.css
20250302	15:29:05	c1d2962a-0af3-453e-8de2-71d97d75f4a2	OPTIONS	https://www.google.com	/
20250302	15:29:05	4b948cca-a793-467a-b02b-511ce3cdc61c	GET	https://www.google.com	/
20250302	15:45:18	d6198be2-644b-461a-8089-ae19e10d0390	OPTIONS	https://www.google.com	/
20250302	15:45:18	4a3a614e-3b0a-4723-8590-4ea0d667d0a2	GET	https://www.google.com	/
20250302	15:52:22	26daa4c4-617a-42b1-9547-7b5378bc2ec6	OPTIONS	https://www.google.com	/
20250302	15:52:22	59aa301f-9d3d-4506-ba19-8d00e260288c	GET	https://www.google.com	/
20250302	15:53:22	078fdc69-2f76-4dbb-976e-08d9aa2fcfd9	OPTIONS	https://www.google.com	/
20250302	15:53:22	f3e18f2f-c08a-4784-8dc1-60996b5494cf	GET	https://www.google.com	/
20250302	15:58:46	4bf27e58-a6d2-4cf8-adac-6628ebd5d6a7	OPTIONS	https://www.google.com	/
20250302	15:58:46	37bd4474-a75e-4289-98c0-cacf9e11e8bc	GET	https://www.google.com	/
